url,status,title_hint,reason
https://openreview.net/forum?id=VTF8yNQM66,unverified,Swe-bench: Can language models resolve real-world github issues?,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=fibxvahvs3,unverified,GAIA: a benchmark for general AI assistants,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=0IOX0YcCdTn,unverified,Alfworld: Aligning text and embodied environments for interactive learning,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=dHng2O0Jjr,unverified,Toolllm: Facilitating large language models to master 16000+ real-world apis,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=6z4YKr0GK6,unverified,Scienceagentbench: Toward rigorous assessment of language agents for data-driven scientific discovery,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=DSsSPr0RZJ,unverified,Dsbench: How far are data science agents from becoming data science experts?,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=zAdUB0aCTQ,unverified,Agentbench: Evaluating llms as agents,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=il5yUQsrjC,unverified,Androidworld: A dynamic benchmarking environment for autonomous agents,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=oKn9c6ytLx,unverified,Webarena: A realistic web environment for building autonomous agents,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://doi.org/10.1109/ICCV.2019.00943,unverified,Habitat: A platform for embodied AI research,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://doi.org/10.1109/TPAMI.2022.3190471,unverified,Metadrive: Composing diverse driving scenarios for generalizable reinforcement learning,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://doi.org/10.1007/978-3-030-58604-1_7,unverified,Beyond the nav-graph: Vision-and-language navigation in continuous environments,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://doi.org/10.1109/IROS60139.2025.11246658,unverified,Et-plan-bench: Embodied task-level planning benchmark towards spatial-temporal cognition with foundation models,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=jp3gWrMuIZ,unverified,MINT: evaluating llms in multi-turn interaction with tools and language feedback,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=6s5uXNWGIh,unverified,Mle-bench: Evaluating machine learning agents on machine learning engineering,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=c6l7yA0HSq,unverified,Is your LLM secretly a world model of the internet? model-based planning for web agents,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=sKWlRDzPfd7,unverified,MAESTRO: open-ended environment design for multi-agent reinforcement learning,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=axUf8BOjnH,unverified,Agentstudio: A toolkit for building general virtual agents,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=unDQOUah0F,unverified,Videowebarena: Evaluating long context multimodal agents with video understanding web tasks,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://doi.org/10.1609/aaai.v38i18.30006,unverified,Generalized planning in PDDL domains with pretrained large language models,"ProxyError: HTTPSConnectionPool(host='ojs.aaai.org', port=443): Max retries exceeded with url: /index.php/AAAI/article/view/30006 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"
https://openreview.net/forum?id=zVo6PfBa0K,unverified,Generating symbolic world models via test-time scaling of large language models,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=m9V4JHLJrD,unverified,Synthesizing world models for bilevel planning,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://proceedings.neurips.cc/paper/2018/hash/2de5d16682c3c35007e4e92982f1a2ba-Abstract.html,excluded_after_review,Recurrent World Models Facilitate Policy Evolution,与1803.10122 World Models同作者同项目的版本家族，保守仅计World Models一次；未将两个题名计为两篇。
https://openreview.net/forum?id=vhFu1Acb0xb,unverified,IRIS : Transformers are Sample-Efficient World Models,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=SkxpxJBKwS,unverified,2019 · Emergent Tool Use — Emergent Tool Use From Multi-Agent Autocurricula,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=Sy0GnUxCb,unverified,2017 · Emergent Complexity — Emergent Complexity via Multi-Agent Competition,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=8xLkv08d70T,unverified,2020 · APT-Gen — Adaptive Procedural Task Generation for Hard-Exploration Problems,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://openreview.net/forum?id=Y1XkzMJpPd,unverified,2024 · OMNI-EPIC — OMNI-EPIC: Open-endedness via Models of human Notions of Interestingness with Environments Programmed in Code,Opened page lacks complete machine-readable title/authors/year; manual review required.
https://proceedings.neurips.cc/paper_files/paper/1994/file/ef50c335cca9f340bde656363ebd02fd-Paper.pdf,unverified,"Generalization in Reinforcement Learning : Safely approximating the value function, NeurIPS 1994. [Paper]",PDF source opened; metadata requires manual extraction; not automatically counted.
https://proceedings.neurips.cc/paper_files/paper/2010/file/091d584fced301b442654dd8c23b3fc9-Paper.pdf,unverified,"Double Q-learning, NeurIPS 2010. [Paper]",PDF source opened; metadata requires manual extraction; not automatically counted.
https://proceedings.mlr.press/v48.html,unverified,"Generalization and exploration via randomized value functions, ICML 2016. [Paper]",HTTPError: 404 Client Error: Not Found for url: https://proceedings.mlr.press/v48.html
https://papers.nips.cc/paper_files/paper/2016/file/8d8818c8e140c64c743113f563cf750f-Paper.pdf,unverified,"Deep exploration via bootstrapped DQN, NeurIPS 2016. [Paper]",PDF source opened; metadata requires manual extraction; not automatically counted.
https://proceedings.neurips.cc/paper/2020/file/5a751d6a0b6ef05cfe51b86e5d1458e6-Paper.pdf,unverified,"Improving generalization in reinforcement learning with mixture regularization, NeurIPS 2020. [Paper]",PDF source opened; metadata requires manual extraction; not automatically counted.
https://proceedings.neurips.cc/paper/2020/file/e615c82aba461681ade82da2da38004a-Paper.pdf,unverified,"Reinforcement learning with augmented data, NeurIPS 2020. [Paper]",PDF source opened; metadata requires manual extraction; not automatically counted.
https://proceedings.neurips.cc/paper/2020/file/2c6a0bae0f071cbbf0bb3d5b11d90a82-Paper.pdf,unverified,"Munchausen Reinforcement Learning, NeurIPS 2020. [Paper]",PDF source opened; metadata requires manual extraction; not automatically counted.
https://arxiv.org/abs/2603.00195,excluded_after_review,Formal Analysis and Supply Chain Security for Agentic AI Skills,原始页面摘要栏主要为修订说明，尚未完成内容相关性核验，暂不计入主库。书目元数据已打开核验。
